Demand ID; Started at; Source Node; Destination node; Bitrate; Duration; Is success; Links in path; Path length; Is shortest path; Required core; Required index
15546; 1076; 27; 23; 985; 1; False; [40, 54, 71, 76, 80]; 2824; True; None; None
15513; 1074; 23; 14; 973; 3; False; [67, 71]; 1025; True; None; None
15516; 1074; 0; 6; 686; 3; False; [0, 6]; 1114; True; None; None
15406; 1065; 22; 21; 908; 12; False; [14, 24, 38, 52, 69, 70]; 3562; True; None; None
15479; 1071; 24; 7; 257; 6; True; [25, 28, 38, 73]; 2019; True; 0; 89
15518; 1074; 7; 22; 820; 3; False; [26, 40, 54, 71]; 1943; True; None; None
15446; 1069; 18; 15; 710; 8; False; [16, 20, 32, 37, 59]; 2686; True; None; None
15521; 1075; 26; 15; 759; 2; False; [40, 53, 76, 79, 80]; 2681; True; None; None
15465; 1070; 11; 4; 320; 7; True; [24, 38]; 933; True; 0; 50
15454; 1069; 9; 19; 942; 8; False; [2, 3, 19, 21, 31]; 2349; True; None; None
15347; 1061; 9; 12; 444; 16; True; [33]; 720; True; 0; 172
15514; 1074; 0; 9; 645; 3; False; [0, 6, 20, 22]; 1659; True; None; None
15496; 1073; 5; 14; 120; 4; True; [20, 32, 37]; 1383; True; 0; 68
15499; 1073; 10; 8; 951; 4; False; [29, 34]; 1048; True; None; None
15510; 1074; 16; 5; 910; 4; False; [56, 59]; 1556; True; None; None
15541; 1076; 3; 6; 425; 2; False; [10, 12, 28]; 1004; True; None; None
15397; 1065; 12; 8; 561; 13; False; [19, 23, 29, 31, 43]; 2128; True; None; None
15506; 1073; 19; 2; 874; 5; False; [0, 61]; 1204; True; None; None
15489; 1072; 8; 25; 416; 6; True; [26, 29, 42]; 1513; True; 0; 0
15524; 1075; 1; 18; 781; 3; False; [5, 17]; 1390; True; None; None
15486; 1072; 17; 4; 813; 6; False; [4, 9, 57]; 1399; True; None; None
15558; 1077; 10; 2; 733; 1; False; [8, 27, 34]; 1323; True; None; None
15523; 1075; 20; 24; 479; 3; False; [13, 26, 41, 63]; 2775; True; None; None
15488; 1072; 20; 24; 881; 6; False; [13, 26, 41, 63]; 2775; True; None; None
15493; 1072; 26; 18; 104; 6; False; [7, 8, 12, 24, 38, 76, 79, 80]; 4217; True; None; None
15461; 1070; 25; 27; 432; 8; True; [77]; 722; True; 0; 14
